Month,Day,Year,DOY,Temperature
1,1,2021,1,8.779167
1,2,2021,2,6.458333
1,3,2021,3,4.041667
1,4,2021,4,-1.416667
1,5,2021,5,-5.208333
1,6,2021,6,-1.5
1,7,2021,7,-8.041667
1,8,2021,8,-0.875
1,9,2021,9,2.125
1,10,2021,10,1.333333
1,11,2021,11,0.208333
1,12,2021,12,5.291667
1,13,2021,13,-2.083333
1,14,2021,14,-2.625
1,15,2021,15,-3.166667
1,16,2021,16,-0.25
1,17,2021,17,-1.208333
1,18,2021,18,-3.5
1,19,2021,19,1.354167
1,20,2021,20,-2.5
1,21,2021,21,-5.333333
1,22,2021,22,-4.541667
1,23,2021,23,-0.583333
1,24,2021,24,4.291667
1,25,2021,25,8.041667
1,26,2021,26,8.958333
1,27,2021,27,6.916667
1,28,2021,28,8.208333
1,29,2021,29,2.041667
1,30,2021,30,-9.708333
1,31,2021,31,-12.116667
2,1,2021,32,-7.791667
2,2,2021,33,-6.291667
2,3,2021,34,0
2,4,2021,35,1.75
2,5,2021,36,2.208333
2,6,2021,37,-0.070833
2,7,2021,38,0.283333
2,8,2021,39,1.6375
2,9,2021,40,-2.291667
2,10,2021,41,0.095833
2,11,2021,42,-1.670833
2,12,2021,43,11.7875
2,13,2021,44,11.4
2,14,2021,45,9.104167
2,15,2021,46,8.375
2,16,2021,47,2.5
2,17,2021,48,5.3125
2,18,2021,49,2.166667
2,19,2021,50,-0.020833
2,20,2021,51,0.625
2,21,2021,52,5.583333
2,22,2021,53,2.333333
2,23,2021,54,-0.354167
2,24,2021,55,0.291667
2,25,2021,56,1.895833
2,26,2021,57,6.354167
2,27,2021,58,-5.8
2,28,2021,59,-3.845833
3,1,2021,60,-9.55
3,2,2021,61,-10.533333
3,3,2021,62,-6.641667
3,4,2021,63,-3.654167
3,5,2021,64,-3.941667
3,6,2021,65,-2.508333
3,7,2021,66,0.741667
3,8,2021,67,6.0375
3,9,2021,68,6.420833
3,10,2021,69,2.383333
3,11,2021,70,3.4375
